Metabolite Name,Class,Class total,HMDB link,HMDB ID
L-Acetylcarnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB00201,HMDB0000201
Isovalerylcarnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB00688,HMDB0000688
Isobutyrylcarnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB62556,HMDB0000736
Hexanoylcarnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB00705,HMDB0000756
L-Octanoylcarnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB00791,HMDB0000791
Propionylcarnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB00824,HMDB0000824
Butyrylcarnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB02013,HMDB0002013
Dodecanoylcarnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB02250,HMDB0002250
Valerylcarnitine,Acyl carnitines,Acyl carnitines,https://hmdb.ca/metabolites/HMDB0013128,HMDB0013128
Pivaloylcarnitine,Acyl carnitines,Acyl carnitines,https://hmdb.ca/metabolites/HMDB0041993,HMDB0041993
3-hydroxyoctanoyl carnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB61634,HMDB0061634
O-decanoyl-L-carnitine,Acyl carnitines,Acyl carnitines,http://www.hmdb.ca/metabolites/HMDB62631,HMDB0062631
(±)-Hexanoylcarnitine,Acyl carnitines,Acyl carnitines,,METLIN 85174
1-Methylhistidine,Amino acids,Amino acids,https://hmdb.ca/metabolites/HMDB0000001,HMDB0000001
Betaine,Amino acids,Amino acids,http://www.hmdb.ca/metabolites/HMDB00043,HMDB0000043
Creatine,Amino acids,Amino acids,https://hmdb.ca/metabolites/HMDB0000064,HMDB0000064
Glycine,Amino acids,Amino acids,http://www.hmdb.ca/metabolites/HMDB00123,HMDB0000123
Glutathione,Amino acids,Amino acids,https://hmdb.ca/metabolites/HMDB0000125,HMDB0000125
L-Glutamic acid,Amino acids,Amino acids,http://www.hmdb.ca/metabolites/HMDB00148,HMDB0000148
L-Tyrosine,Amino acids,Amino acids,http://www.hmdb.ca/metabolites/HMDB00158,HMDB0000158
L-Phenylalanine,Amino acids,Amino acids,http://www.hmdb.ca/metabolites/HMDB00159,HMDB0000159
L-Alanine,Amino acids,Amino acids,https://hmdb.ca/metabolites/HMDB0000161,HMDB0000161
L-Proline,Amino acids,Amino acids,http://www.hmdb.ca/metabolites/HMDB00162,HMDB0000162
