,L-Isoleucine,L-Leucine,L-Cysteine,L-Serine,Glycine,Adenosine monophosphate,Isobutyryl-L-carnitine,Butyrylcarnitine,Valerylcarnitine,Hydroxyhexanoycarnitine,Hydroxyvalerylcarnitine,L-Acetopine,Deoxyadenosine,Methionyl-Phenylalanine,Phenylalanyl-Serine,Phenylalanyl-Valine,Serinyl-Isoleucine,Serinyl-Leucine,Serinyl-Phenylalanine,Theobromine,Threoninyl-Leucine,LysoPC(14:0),sn-2 LysoPC(14:0),LysoPE(0:0/18:0),LysoPE(18:0/0:0),LysoPC(0:0/16:0),LysoPC(16:0),LysoPC(16:1(9Z)),sn-2 LysoPC(16:1),LysoPC(0:0/18:0),LysoPC(18:0),LysoPC(18:1(11Z)),LysoPC(18:1(9Z)),sn-2 LysoPC(18:1(9Z)),"LysoPC(18:2(9Z,12Z))",LysoPE(0:0/18:1(11Z)),LysoPE(18:1(11Z)/0:0),LysoPE(18:1(9Z)/0:0),LysoPE(0:0/18:1(9Z)),Glycerol,(S)-2-Azetidinecarboxylic acid,1-Methyladenosine,1-Methylguanine,1-Methylguanosine,4-Guanidinobutanoic acid,4-Hydroxyproline,5'-Methylthioadenosine,Acetylcholine,Adenosine,Adenosine 3'-monophosphate,ADP,AICAR,Allopurinol,Betaine,Choline,cis-5-Tetradecenoylcarnitine,cis-Aconitic acid,Citrulline,Coumarin,Creatine,Creatinine,Cysteinylglycine,Cytidine,Cytidine monophosphate,Cytosine,Epinephrine,Gamma-Glutamyltyrosine,Glutamyl-Glutamine,Glutathione,Glycerophosphocholine,Guanine,Guanosine,Guanosine monophosphate,Histidinyl-Phenylalanine,Homocitrulline,Hypoxanthine,Isoleucyl-Alanine,Isoleucyl-Arginine,Isoleucyl-Serine,Isovalerylcarnitine,L-Acetylcarnitine,L-Alanine,L-Arginine,L-Asparagine,L-Carnitine,L-gamma-glutamyl-L-isoleucine,L-gamma-glutamyl-L-leucine,L-gamma-glutamyl-L-valine,L-Glutamine,L-Hexanoylcarnitine,L-Kynurenine,L-Lysine,L-Methionine,L-Octanoylcarnitine,L-Phenylalanine,L-Proline,L-Tryptophan,L-Tyrosine,L-Valine,LysoPC(15:0),Lysyl-Leucine,"N6,N6,N6-Trimethyl-L-lysine",N6-Acetyl-L-lysine,N-a-Acetyl-L-arginine,NAD,Niacinamide,O-decanoyl-L-carnitine,Oxidized glutathione,Pantothenic acid,Phenylalanyl-Glutamate,Phenylalanyl-Tyrosine,Phosphorylcholine,Picolinic acid,Proline betaine,Propionylcarnitine,Pyroglutamine,S-Lactoylglutathione,Symmetric dimethylarginine,thymine,Tiglylcarnitine,trans-2-Tetradecenoylcarnitine,Uracil,Urea,Uridine,Urocanic acid,Xanthine,2-Ethylhydracrylic acid,2-Hydroxybutyric acid,2-Hydroxycaproic acid,2-Hydroxyglutarate,3-phosphoglyceric acid,6-Phosphonoglucono-D-lactone,Adenylsuccinic acid,Alpha-ketoisovaleric acid,Citric acid,D-Erythrose 4-phosphate,D-Ribose 5-phosphate,"Fructose 1,6-bisphosphate",Fumaric acid,Gluconic acid,Glucose 6-phosphate,Glycerol 3-phosphate,Glycyl-L-leucine,Inosine,Inosinic acid,L-Aspartic acid,L-Glutamic acid,L-Histidine,L-Lactic acid,L-Malic acid,Mandelic acid,N-Acetylglutamic acid,N-Acetyl-L-phenylalanine,Ornithine,Oxoglutaric acid,Phosphoenolpyruvic acid,Pipecolic acid,Succinic acid,Trehalose,Tridecanoic acid,Uric acid,Uridine 5'-monophosphate,Xanthosine
DABY+S1,1.55E+05,2.49E+05,533.2,24190,2973,23670,3903,21800,4162,622.6,37710,47.81,1092,728.2,711.1,7430,3812,4674,1525,21180,4136,4.19E+05,42150,13860,86510,3.49E+05,3.93E+06,2.84E+07,1.85E+06,1.68E+05,1.60E+06,1.21E+06,9.40E+06,5142,36420,6.31E+05,3.30E+06,24200,43460,6547,1.10E+05,34094,7702,73943,21389,69840,3.11E+05,4.54E+05,1.10E+06,2.20E+06,1.44E+06,2.10E+05,1.23E+05,3.51E+05,2.96E+05,35483,1.04E+05,1.04E+05,56064,13091,9.98E+05,27835,32736,1.95E+05,44373,7591,9931,1.57E+05,9.51E+05,2.14E+07,1.04E+05,47366,2.61E+05,37243,6842,2.86E+05,43823,95441,45599,90058,1.46E+06,1.04E+05,2.75E+06,3.78E+05,1.81E+06,42871,95707,1.88E+05,2.83E+06,28125,49723,5.55E+05,1.22E+05,33004,7.99E+05,1.06E+06,3.07E+05,3.96E+05,7.55E+05,54880,56719,30105,60359,87571,9153,6.03E+05,24541,4.58E+06,90576,35075,55458,5.21E+05,2.92E+05,77995,46551,8397,56211,28973,453,845,66027,14615,2.95E+05,2567,29039,12290,26506,507,11381,5.23E+05,1.24E+06,44286,2.55E+05,5195,8.01E+06,1.93E+05,12215,2.58E+07,22365,1.29E+05,5.92E+06,1.78E+05,31476,5.13E+05,7.54E+05,5.08E+05,2.13E+06,5.47E+05,7.52E+05,1.36E+06,28898,2.61E+05,9618,2.81E+05,26710,2.24E+05,1.56E+06,4.84E+05,3.51E+07,58770,30386,1.30E+06,5699
DABY+S2,1.03E+06,1.17E+06,11870,12470,3364,93490,3.30E+05,3.89E+05,1.37E+05,18000,18000,4251,9997,1.06E+05,77090,6068,43940,2.61E+05,1.08E+06,7911,42390,2.17E+05,25000,0,9544,58180,8.05E+05,1.19E+07,7.65E+05,35580,2.78E+05,3.85E+05,4.86E+06,2778,25980,1.75E+05,1.38E+06,26110,22760,21370,4.71E+05,3.27E+05,67096,3.95E+05,7.96E+05,1.54E+06,2.16E+06,3.58E+06,3.45E+06,3.20E+07,2.65E+06,5.96E+05,93511,7.52E+05,4.43E+05,38822,6.89E+05,8.85E+05,2.06E+05,2.41E+05,2.27E+06,1.16E+06,2.35E+05,1.55E+06,1.15E+05,70650,33177,2.75E+06,4.37E+07,1.58E+07,4.19E+05,2.08E+05,4.08E+06,5.64E+05,3.81E+05,1.31E+05,6.10E+05,1.15E+06,1.20E+06,61890,1.71E+07,1.47E+05,9.97E+06,7.69E+05,1.45E+07,3.80E+05,1.80E+06,7.42E+06,5.29E+06,76530,6.32E+05,2.30E+06,3.76E+05,38781,3.41E+06,1.11E+07,9.92E+05,1.52E+06,1.64E+06,17923,6.70E+05,3.77E+05,8.09E+05,1.06E+06,2.05E+05,8.61E+05,18510,1.23E+08,1.05E+06,1.00E+06,1.08E+05,1.30E+06,2.77E+06,1.17E+06,1.82E+06,3.74E+05,1.11E+06,7.04E+05,10956,15773,64075,66526,5.95E+05,43750,19197,25485,30190,11063,61999,5.33E+06,1.32E+06,1.14E+05,1.25E+07,85338,4.92E+07,51552,17126,4.12E+06,99352,1.08E+06,5.88E+05,2.26E+05,33397,2.95E+05,4.64E+06,5.97E+06,1.84E+07,4.78E+06,1.13E+06,6.71E+06,77671,5.53E+06,1.10E+05,2.00E+06,1.20E+06,4.96E+05,1.42E+07,2.65E+06,1.90E+07,53097,9440,2.93E+07,88611
DABY+S3,1.17E+05,2.14E+05,245.5,14460,2397,57420,3413,9202,3128,611.9,47530,706.4,417.3,3012,767.5,4423,3409,6610,2725,18130,2704,1.11E+06,78260,17120,1.28E+05,8.64E+05,1.27E+07,4.73E+07,3.29E+06,3.70E+05,4.85E+06,2.55E+06,3.36E+07,4529,46180,1.05E+06,7.27E+06,46500,90250,8652,73565,29230,8241,48869,18852,60733,1.54E+05,2.63E+05,1.14E+06,2.63E+06,9.23E+05,2.14E+05,73263,2.50E+05,4.70E+05,54525,61374,83093,46223,9350,4.72E+05,15270,21276,1.95E+05,34624,8209,6509,1.45E+05,5.33E+05,2.90E+07,67374,31488,2.08E+05,29262,9115,1.69E+05,56303,75447,52165,68685,9.97E+05,79446,9.74E+05,2.19E+05,1.64E+06,37630,83888,1.97E+05,1.29E+06,21030,29898,2.42E+05,1.34E+05,29728,7.23E+05,7.19E+05,2.47E+05,3.18E+05,7.35E+05,1.25E+05,52675,33503,51082,62159,4825,3.54E+05,26993,2.84E+06,1.02E+05,29627,49073,5.44E+05,3.63E+05,53179,45019,8983,33960,26021,412,443,79030,10064,3.28E+05,7731,16212,7080,28536,1597,11846,4.68E+05,1.27E+06,1.43E+05,1.63E+05,5365,5.06E+06,2.11E+05,9554,4.44E+07,26320,1.03E+05,8.09E+06,2.62E+05,28297,2.45E+05,1.10E+06,2.39E+05,1.23E+06,1.74E+05,5.61E+05,1.45E+06,16210,1.03E+05,10817,1.66E+05,22665,4.11E+05,1.09E+06,3.99E+05,3.42E+07,43246,18952,6.55E+05,5056
DABY+S4,1.01E+06,1.23E+06,6833,18140,5728,1.50E+05,2.89E+05,3.19E+05,1.25E+05,17220,17220,500.7,6525,61660,67150,4405,39930,2.20E+05,8.38E+05,7727,34850,5.21E+05,45910,3455,14230,1.88E+05,2.79E+06,2.88E+07,1.60E+06,92240,8.78E+05,1.31E+06,1.30E+07,4977,50460,4.36E+05,2.52E+06,43370,49230,26200,5.28E+05,3.40E+05,66256,3.53E+05,7.01E+05,1.49E+06,2.52E+06,3.41E+06,2.52E+06,2.47E+07,4.30E+06,1.98E+05,90700,6.30E+05,4.27E+05,31315,8.26E+05,9.22E+05,1.94E+05,2.10E+05,2.35E+06,8.47E+05,2.05E+05,1.29E+06,99025,61034,31125,2.36E+06,2.99E+07,1.34E+07,2.81E+05,1.04E+05,3.61E+06,4.92E+05,3.87E+05,1.06E+05,5.39E+05,1.11E+06,1.04E+06,99250,1.89E+07,1.93E+05,1.08E+07,1.09E+06,1.41E+07,3.55E+05,1.65E+06,6.61E+06,6.68E+06,52742,5.36E+05,2.48E+06,3.57E+05,36876,3.43E+06,1.14E+07,9.85E+05,1.41E+06,1.67E+06,46721,6.21E+05,3.86E+05,7.01E+05,8.79E+05,2.15E+05,2.56E+06,17756,1.18E+08,8.77E+05,8.65E+05,93282,1.39E+06,1.74E+06,1.11E+06,1.86E+06,3.59E+05,6.88E+05,7.03E+05,12353,14124,71330,1.48E+05,5.96E+05,8536,38855,26716,30818,1186,57719,5.71E+06,3.13E+06,1.07E+05,8.58E+06,84589,5.10E+07,98412,20941,3.03E+06,99722,9.73E+05,5.58E+05,3.09E+05,39266,2.22E+05,4.45E+06,5.70E+06,1.80E+07,4.41E+06,9.37E+05,5.84E+06,77775,5.79E+06,80682,2.13E+06,1.38E+06,9.85E+05,1.40E+07,1.63E+06,1.69E+07,58290,11569,2.55E+07,84561
DABY-S1,2.99E+05,5.36E+05,421.7,21500,4173,39180,2379,10210,2063,2110,47360,1679,2716,1354,1098,5341,4583,6697,4662,18280,4688,1.61E+06,1.31E+05,26630,2.17E+05,1.45E+06,1.78E+07,6.32E+07,7.31E+06,6.10E+05,6.36E+06,7.88E+06,4.95E+07,19680,1.41E+05,2.73E+06,1.21E+07,75750,2.39E+05,11290,1.01E+05,41505,16774,69831,90674,94243,2.83E+05,3.53E+05,1.89E+06,2.58E+06,1.11E+06,3.92E+05,1.95E+05,3.33E+05,4.68E+05,57538,1.34E+05,1.18E+05,1.13E+05,18998,8.28E+05,6719,62957,2.19E+05,86733,7560,16505,2.20E+05,2.26E+05,3.06E+07,2.45E+05,1.29E+05,3.29E+05,60596,5895,3.31E+05,57512,1.25E+05,51515,94230,1.02E+06,1.30E+05,1.86E+06,2.97E+05,1.27E+06,62839,1.08E+05,1.94E+05,2.33E+06,31064,69238,4.58E+05,2.51E+05,52143,1.85E+06,1.22E+06,3.56E+05,8.11E+05,1.07E+06,2.07E+05,73669,23618,1.01E+05,82077,6656,6.22E+05,48317,3.10E+06,1.27E+05,38513,62354,5.90E+05,5.30E+05,46688,24195,11974,37860,21968,464,417,1.06E+05,32978,5.71E+05,10357,26023,57134,26936,3601,16846,1.38E+06,2.15E+06,40993,1.59E+05,12361,1.08E+07,2.27E+05,19191,3.31E+07,44150,2.00E+05,1.01E+07,2.16E+05,57045,9.65E+05,8.14E+05,3.05E+05,1.20E+06,3.75E+05,1.10E+06,1.93E+06,1.81E+05,2.41E+05,35199,2.22E+05,37052,3.58E+05,3.61E+06,1.28E+06,2.87E+07,65721,88411,2.02E+06,27907
DABY-S2,1.14E+06,1.36E+06,11690,12530,5496,1.02E+05,3.36E+05,3.62E+05,1.45E+05,18900,18900,4322,7637,78370,75440,19670,43410,2.56E+05,9.92E+05,6997,40120,4.17E+05,39840,1971,8561,92800,1.47E+06,2.33E+07,1.35E+06,43720,4.04E+05,5.99E+05,8.28E+06,3457,18850,2.14E+05,1.77E+06,40530,37480,21170,5.38E+05,3.88E+05,63759,3.97E+05,7.71E+05,1.50E+06,2.55E+06,3.88E+06,3.53E+06,3.10E+07,2.81E+06,5.85E+05,1.04E+05,7.62E+05,4.60E+05,43046,7.24E+05,9.66E+05,1.96E+05,2.46E+05,2.61E+06,1.06E+06,2.36E+05,1.55E+06,1.16E+05,68881,34780,2.63E+06,3.74E+07,1.67E+07,3.81E+05,1.80E+05,3.90E+06,5.75E+05,4.07E+05,1.56E+05,6.16E+05,1.18E+06,1.20E+06,67871,2.24E+07,1.94E+05,1.11E+07,8.99E+05,1.44E+07,3.99E+05,1.88E+06,7.55E+06,6.49E+06,52888,6.14E+05,2.61E+06,3.60E+05,27963,3.40E+06,1.19E+07,1.01E+06,1.40E+06,2.06E+06,31880,6.53E+05,3.99E+05,8.08E+05,1.10E+06,2.21E+05,8.72E+05,10974,1.44E+08,9.77E+05,9.94E+05,97431,1.36E+06,2.63E+06,1.26E+06,2.13E+06,4.05E+05,9.86E+05,8.25E+05,13277,16612,59694,64299,6.42E+05,38431,19803,18312,21639,7019,68888,5.87E+06,1.41E+06,1.21E+05,1.24E+07,1.12E+05,5.28E+07,70447,16920,4.42E+06,1.18E+05,1.09E+06,6.13E+05,2.44E+05,30123,3.73E+05,5.52E+06,6.60E+06,1.95E+07,5.01E+06,1.13E+06,6.99E+06,56023,6.38E+06,87289,2.19E+06,1.44E+06,4.78E+05,1.64E+07,2.68E+06,2.23E+07,33505,9115,2.87E+07,92194
DABY-S3,2.07E+05,2.78E+05,1334,22270,2665,37000,2931,21990,2276,714.1,42920,45.21,1336,1011,0,3669,5211,5738,1789,23880,5089,1.22E+06,96860,29970,2.41E+05,1.03E+06,1.46E+07,5.46E+07,5.06E+06,5.09E+05,6.27E+06,4.58E+06,3.83E+07,14950,1.17E+05,1.96E+06,8.99E+06,59400,1.51E+05,12510,1.32E+05,42099,11636,94072,18605,61352,3.03E+05,4.30E+05,1.42E+06,3.31E+06,1.65E+06,3.15E+05,1.55E+05,1.93E+05,4.25E+05,60267,1.70E+05,1.03E+05,75925,10217,1.14E+06,23051,50466,2.67E+05,72467,10919,13164,1.87E+05,9.26E+05,3.39E+07,1.32E+05,54393,3.99E+05,49951,5200,3.98E+05,47056,1.27E+05,52366,99930,1.27E+06,1.40E+05,2.56E+06,3.80E+05,1.62E+06,49869,1.03E+05,2.04E+05,3.06E+06,41000,88706,5.27E+05,1.43E+05,60210,9.92E+05,1.30E+06,3.16E+05,5.43E+05,9.82E+05,1.59E+05,80906,30107,69891,88123,10704,8.83E+05,43927,4.92E+06,1.44E+05,33769,56892,6.73E+05,4.84E+05,37552,36581,12435,65318,27692,630,682,82500,24526,4.89E+05,843,11878,15836,60159,697,17551,1.09E+06,1.92E+06,53287,2.93E+05,8979,1.27E+07,2.10E+05,20593,2.61E+07,33596,1.37E+05,8.51E+06,2.40E+05,91808,8.01E+05,8.41E+05,4.50E+05,2.27E+06,5.51E+05,6.08E+05,1.45E+06,44272,2.96E+05,16840,3.17E+05,40152,3.29E+05,2.21E+06,8.91E+05,4.20E+07,1.72E+05,21550,2.82E+06,8375
DABY-S4,1.08E+06,1.18E+06,6243,10060,4541,1.12E+05,3.21E+05,3.63E+05,1.49E+05,20680,20680,2702,9209,88460,76340,7341,39090,2.47E+05,1.16E+06,7833,40610,4.66E+05,42070,1278,11320,1.15E+05,2.01E+06,2.60E+07,1.34E+06,63870,6.56E+05,8.18E+05,1.40E+07,5282,53010,2.90E+05,2.95E+06,41750,38520,24490,5.00E+05,3.70E+05,78214,4.11E+05,8.22E+05,1.57E+06,2.76E+06,3.59E+06,4.17E+06,2.99E+07,2.97E+06,3.56E+05,85204,7.76E+05,4.97E+05,47800,7.08E+05,9.77E+05,2.38E+05,2.69E+05,2.48E+06,5.69E+05,2.49E+05,1.62E+06,1.40E+05,73390,34065,3.40E+06,2.08E+07,1.69E+07,4.84E+05,2.66E+05,3.75E+06,5.84E+05,3.66E+05,1.42E+05,5.99E+05,1.36E+06,1.15E+06,72527,2.01E+07,1.66E+05,1.06E+07,8.58E+05,1.42E+07,3.58E+05,1.99E+06,7.34E+06,5.97E+06,65368,9.16E+05,2.55E+06,4.40E+05,25830,3.50E+06,1.30E+07,1.10E+06,1.69E+06,1.64E+06,32184,7.91E+05,4.10E+05,7.68E+05,9.52E+05,2.25E+05,1.80E+06,3839,1.55E+08,1.12E+06,9.43E+05,1.05E+05,1.62E+06,2.41E+06,1.21E+06,2.30E+06,4.88E+05,7.05E+05,7.99E+05,14562,17353,63841,68556,6.77E+05,39321,10281,27600,25756,13838,59813,4.87E+06,1.45E+06,1.08E+05,1.12E+07,95177,4.93E+07,46322,16930,3.00E+06,27510,1.05E+06,5.50E+05,2.37E+05,25600,3.03E+05,4.82E+06,6.01E+06,2.02E+07,4.91E+06,1.13E+06,6.88E+06,85411,5.38E+06,91816,2.45E+06,1.24E+06,6.18E+05,1.78E+07,3.07E+06,2.02E+07,24697,8950,2.96E+07,94171
DABY3alpha1,1.01E+06,1.14E+06,7510,10140,3205,0,3.31E+05,3.78E+05,1.37E+05,20200,20200,5292,8753,1.23E+05,85660,5326,42160,2.59E+05,1.17E+06,8178,58250,4.27E+05,40420,3495,11660,1.23E+05,1.90E+06,2.61E+07,1.28E+06,58790,5.54E+05,7.91E+05,1.22E+07,4805,26050,3.17E+05,2.84E+06,41520,39110,22630,4.82E+05,3.19E+05,66496,3.73E+05,7.34E+05,1.55E+06,2.24E+06,3.74E+06,3.48E+06,2.48E+07,2.74E+06,4.04E+05,68741,7.17E+05,4.38E+05,44818,6.98E+05,8.51E+05,2.07E+05,2.64E+05,2.28E+06,8.81E+05,2.32E+05,1.28E+06,1.19E+05,74217,35078,2.70E+06,3.03E+07,1.58E+07,4.14E+05,2.15E+05,2.95E+06,5.40E+05,3.77E+05,1.28E+05,5.93E+05,1.24E+06,1.16E+06,64489,1.65E+07,1.35E+05,9.83E+06,7.58E+05,1.40E+07,3.82E+05,1.79E+06,7.30E+06,5.00E+06,72935,6.43E+05,2.32E+06,4.13E+05,42381,3.32E+06,1.09E+07,9.71E+05,1.51E+06,1.53E+06,34424,6.90E+05,3.77E+05,7.88E+05,9.33E+05,2.25E+05,2.11E+06,17529,1.31E+08,1.01E+06,9.90E+05,1.08E+05,1.32E+06,1.93E+06,1.16E+06,1.82E+06,3.81E+05,7.32E+05,7.64E+05,8267,16679,64543,61835,6.22E+05,28414,37492,16725,26501,12947,59050,5.09E+06,2.01E+06,1.03E+05,7.82E+06,96546,4.73E+07,1.01E+05,15416,3.73E+06,58904,9.40E+05,5.74E+05,2.68E+05,42483,2.70E+05,4.44E+06,5.35E+06,1.73E+07,4.46E+06,1.05E+06,5.59E+06,46697,5.04E+06,1.04E+05,2.00E+06,1.23E+06,8.55E+05,1.62E+07,2.59E+06,1.90E+07,70255,12723,2.23E+07,97482
DABY3alpha2,2.25E+05,3.19E+05,1516,33750,3660,67060,7012,43990,4935,750.9,49500,2877,1676,1044,1230,17410,5405,6973,3590,21740,5912,3.12E+05,32160,16240,1.09E+05,2.87E+05,3.37E+06,2.41E+07,1.52E+06,1.82E+05,1.83E+06,1.46E+06,1.01E+07,4332,37280,7.47E+05,3.89E+06,23360,46150,10300,1.97E+05,47569,9689,1.12E+05,29078,95750,3.77E+05,7.13E+05,1.24E+06,3.37E+06,1.66E+06,2.01E+05,1.66E+05,7.69E+05,2.78E+05,48940,1.63E+05,1.72E+05,81670,18910,1.55E+06,49739,48668,2.43E+05,68203,7508,11501,2.46E+05,1.84E+06,1.81E+07,1.44E+05,62504,4.36E+05,55285,10562,3.97E+05,50832,1.34E+05,59474,62125,2.06E+06,1.75E+05,3.88E+06,4.85E+05,2.85E+06,47739,1.17E+05,2.87E+05,4.28E+06,25000,81561,8.40E+05,1.44E+05,28983,1.09E+06,1.70E+06,3.51E+05,5.67E+05,9.85E+05,47836,74193,43214,79024,1.47E+05,10977,8.48E+05,27659,8.21E+06,94129,44784,53152,5.51E+05,3.52E+05,78232,80658,10358,81603,53967,706,441,70163,22362,2.73E+05,11449,57809,22549,26652,1138,12421,5.98E+05,1.35E+06,48040,6.68E+05,6533,1.23E+07,2.21E+05,20610,2.29E+07,46554,1.64E+05,6.23E+06,2.21E+05,22775,8.09E+05,9.11E+05,8.75E+05,4.33E+06,9.19E+05,9.95E+05,2.30E+06,62434,6.22E+05,13819,4.21E+05,38938,3.02E+05,2.17E+06,5.72E+05,4.60E+07,32050,45532,2.50E+06,6413
